Value,_name,_oid,_valueType
60,.1.3.6.1.4.1.17409.1.1.1.1.5.13.1.3.6.1.4.1.17409.1.11.7.1.2.6,.1.3.6.1.4.1.17409.1.1.1.1.5.13.1.3.6.1.4.1.17409.1.11.7.1.2.6,Integer
-40,.1.3.6.1.4.1.17409.1.1.1.1.5.13.1.3.6.1.4.1.17409.1.11.7.1.2.7,.1.3.6.1.4.1.17409.1.1.1.1.5.13.1.3.6.1.4.1.17409.1.11.7.1.2.7,Integer
-40,.1.3.6.1.4.1.17409.1.1.1.1.5.13.1.3.6.1.4.1.17409.1.11.7.1.2.8,.1.3.6.1.4.1.17409.1.1.1.1.5.13.1.3.6.1.4.1.17409.1.11.7.1.2.8,Integer
110,.1.3.6.1.4.1.17409.1.1.1.1.6.11.1.3.6.1.4.1.17409.1.11.2.0,.1.3.6.1.4.1.17409.1.1.1.1.6.11.1.3.6.1.4.1.17409.1.11.2.0,Integer
-30,.1.3.6.1.4.1.17409.1.1.1.1.6.11.1.3.6.1.4.1.17409.1.11.3.0,.1.3.6.1.4.1.17409.1.1.1.1.6.11.1.3.6.1.4.1.17409.1.11.3.0,Integer
10,.1.3.6.1.4.1.17409.1.1.1.1.6.12.1.3.6.1.4.1.17409.1.3.1.13.0,.1.3.6.1.4.1.17409.1.1.1.1.6.12.1.3.6.1.4.1.17409.1.3.1.13.0,Integer
100,.1.3.6.1.4.1.17409.1.1.1.1.6.13.1.3.6.1.4.1.17409.1.11.4.1.2.1,.1.3.6.1.4.1.17409.1.1.1.1.6.13.1.3.6.1.4.1.17409.1.11.4.1.2.1,Integer
100,.1.3.6.1.4.1.17409.1.1.1.1.6.13.1.3.6.1.4.1.17409.1.11.4.1.2.2,.1.3.6.1.4.1.17409.1.1.1.1.6.13.1.3.6.1.4.1.17409.1.11.4.1.2.2,Integer
100,.1.3.6.1.4.1.17409.1.1.1.1.6.13.1.3.6.1.4.1.17409.1.11.4.1.2.3,.1.3.6.1.4.1.17409.1.1.1.1.6.13.1.3.6.1.4.1.17409.1.11.4.1.2.3,Integer
-150,.1.3.6.1.4.1.17409.1.1.1.1.6.13.1.3.6.1.4.1.17409.1.11.4.1.3.1,.1.3.6.1.4.1.17409.1.1.1.1.6.13.1.3.6.1.4.1.17409.1.11.4.1.3.1,Integer
-150,.1.3.6.1.4.1.17409.1.1.1.1.6.13.1.3.6.1.4.1.17409.1.11.4.1.3.2,.1.3.6.1.4.1.17409.1.1.1.1.6.13.1.3.6.1.4.1.17409.1.11.4.1.3.2,Integer
-150,.1.3.6.1.4.1.17409.1.1.1.1.6.13.1.3.6.1.4.1.17409.1.11.4.1.3.3,.1.3.6.1.4.1.17409.1.1.1.1.6.13.1.3.6.1.4.1.17409.1.11.4.1.3.3,Integer
200,.1.3.6.1.4.1.17409.1.1.1.1.6.13.1.3.6.1.4.1.17409.1.11.4.1.4.1,.1.3.6.1.4.1.17409.1.1.1.1.6.13.1.3.6.1.4.1.17409.1.11.4.1.4.1,Integer
200,.1.3.6.1.4.1.17409.1.1.1.1.6.13.1.3.6.1.4.1.17409.1.11.4.1.4.2,.1.3.6.1.4.1.17409.1.1.1.1.6.13.1.3.6.1.4.1.17409.1.11.4.1.4.2,Integer
200,.1.3.6.1.4.1.17409.1.1.1.1.6.13.1.3.6.1.4.1.17409.1.11.4.1.4.3,.1.3.6.1.4.1.17409.1.1.1.1.6.13.1.3.6.1.4.1.17409.1.11.4.1.4.3,Integer
40,.1.3.6.1.4.1.17409.1.1.1.1.6.13.1.3.6.1.4.1.17409.1.11.7.1.2.1,.1.3.6.1.4.1.17409.1.1.1.1.6.13.1.3.6.1.4.1.17409.1.11.7.1.2.1,Integer
